#ies_format_version: 1.0
#file: 20250813_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250813;	131600;	1755071160.000;	 err32;	 err32;	    err32
20250813;	131605;	1755071165.000;	 err32;	 err32;	    err32
20250813;	131610;	1755071170.000;	 err32;	 err32;	    err32
20250813;	131615;	1755071175.000;	 err32;	 err32;	    err32
20250813;	131620;	1755071180.000;	 err32;	 err32;	    err32
20250813;	131625;	1755071185.000;	 err32;	 err32;	    err32
20250813;	131630;	1755071190.000;	 err32;	 err32;	    err32
20250813;	131635;	1755071195.000;	 err32;	 err32;	    err32
20250813;	131640;	1755071200.000;	 err32;	 err32;	    err32
20250813;	131645;	1755071205.000;	 err32;	 err32;	    err32
20250813;	131650;	1755071210.000;	 err32;	 err32;	    err32
20250813;	131655;	1755071215.000;	 err32;	 err32;	    err32
20250813;	131700;	1755071220.000;	 err32;	 err32;	    err32
20250813;	131705;	1755071225.000;	 err32;	 err32;	    err32
20250813;	131710;	1755071230.000;	 err32;	 err32;	    err32
20250813;	131715;	1755071235.000;	 err32;	 err32;	    err32
20250813;	131720;	1755071240.000;	 err32;	 err32;	    err32
20250813;	131725;	1755071245.000;	 err32;	 err32;	    err32
20250813;	131730;	1755071250.000;	 err32;	 err32;	    err32
20250813;	131735;	1755071255.000;	 err32;	 err32;	    err32
20250813;	131740;	1755071260.000;	 err32;	 err32;	    err32
20250813;	131745;	1755071265.000;	 err32;	 err32;	    err32
20250813;	131750;	1755071270.000;	 err32;	 err32;	    err32
20250813;	131755;	1755071275.000;	 err32;	 err32;	    err32
20250813;	131800;	1755071280.000;	 err32;	 err32;	    err32
20250813;	131805;	1755071285.000;	 err32;	 err32;	    err32
20250813;	131810;	1755071290.000;	 err32;	 err32;	    err32
20250813;	131815;	1755071295.000;	 err32;	 err32;	    err32
20250813;	131820;	1755071300.000;	 err32;	 err32;	    err32
20250813;	131825;	1755071305.000;	 err32;	 err32;	    err32
20250813;	131830;	1755071310.000;	 err32;	 err32;	    err32
20250813;	131835;	1755071315.000;	 err32;	 err32;	    err32
20250813;	131840;	1755071320.000;	 err32;	 err32;	    err32
20250813;	131845;	1755071325.000;	 err32;	 err32;	    err32
20250813;	131850;	1755071330.000;	 err32;	 err32;	    err32
20250813;	131855;	1755071335.000;	 err32;	 err32;	    err32
20250813;	131900;	1755071340.000;	 err32;	 err32;	    err32
20250813;	131905;	1755071345.000;	 err32;	 err32;	    err32
20250813;	131910;	1755071350.000;	 err32;	 err32;	    err32
20250813;	131915;	1755071355.000;	 err32;	 err32;	    err32
20250813;	131920;	1755071360.000;	 err32;	 err32;	    err32
20250813;	131925;	1755071365.000;	 err32;	 err32;	    err32
20250813;	131930;	1755071370.000;	 err32;	 err32;	    err32
20250813;	131935;	1755071375.000;	 err32;	 err32;	    err32
20250813;	131940;	1755071380.000;	 err32;	 err32;	    err32
20250813;	131945;	1755071385.000;	 err32;	 err32;	    err32
20250813;	131950;	1755071390.000;	 err32;	 err32;	    err32
20250813;	131955;	1755071395.000;	 err32;	 err32;	    err32
20250813;	132000;	1755071400.000;	 err32;	 err32;	    err32
20250813;	132005;	1755071405.000;	 err32;	 err32;	    err32
20250813;	132010;	1755071410.000;	 err32;	 err32;	    err32
20250813;	132015;	1755071415.000;	 err32;	 err32;	    err32
20250813;	132020;	1755071420.000;	 err32;	 err32;	    err32
20250813;	132025;	1755071425.000;	 err32;	 err32;	    err32
20250813;	132030;	1755071430.000;	 err32;	 err32;	    err32
20250813;	132035;	1755071435.000;	 err32;	 err32;	    err32
20250813;	132040;	1755071440.000;	 err32;	 err32;	    err32
20250813;	132045;	1755071445.000;	 err32;	 err32;	    err32
20250813;	132050;	1755071450.000;	 err32;	 err32;	    err32
20250813;	132055;	1755071455.000;	 err32;	 err32;	    err32
20250813;	132100;	1755071460.000;	 err32;	 err32;	    err32
20250813;	132105;	1755071465.000;	 err32;	 err32;	    err32
20250813;	132110;	1755071470.000;	 err32;	 err32;	    err32
20250813;	132115;	1755071475.000;	 err32;	 err32;	    err32
20250813;	132120;	1755071480.000;	 err32;	 err32;	    err32
20250813;	132125;	1755071485.000;	 err32;	 err32;	    err32
20250813;	132130;	1755071490.000;	 err32;	 err32;	    err32
20250813;	132135;	1755071495.000;	 err32;	 err32;	    err32
20250813;	132140;	1755071500.000;	 err32;	 err32;	    err32
20250813;	132145;	1755071505.000;	 err32;	 err32;	    err32
20250813;	132150;	1755071510.000;	 err32;	 err32;	    err32
20250813;	132155;	1755071515.000;	 err32;	 err32;	    err32
20250813;	132200;	1755071520.000;	 err32;	 err32;	    err32
20250813;	132205;	1755071525.000;	 err32;	 err32;	    err32
20250813;	132210;	1755071530.000;	 err32;	 err32;	    err32
20250813;	132215;	1755071535.000;	 err32;	 err32;	    err32
20250813;	132220;	1755071540.000;	 err32;	 err32;	    err32
20250813;	132225;	1755071545.000;	 err32;	 err32;	    err32
20250813;	132230;	1755071550.000;	 err32;	 err32;	    err32
20250813;	132235;	1755071555.000;	 err32;	 err32;	    err32
20250813;	132240;	1755071560.000;	 err32;	 err32;	    err32
20250813;	132245;	1755071565.000;	  err8;	  err8;	     err8
20250813;	132250;	1755071570.000;	  err8;	  err8;	     err8
20250813;	132255;	1755071575.000;	  err8;	  err8;	     err8
20250813;	132300;	1755071580.000;	     1;	 err19;	    err19
20250813;	132305;	1755071585.000;	     1;	 err19;	    err19
20250813;	132310;	1755071590.000;	     1;	 err19;	    err19
20250813;	132315;	1755071595.000;	     1;	 err19;	    err19
20250813;	132320;	1755071600.000;	     1;	 err19;	    err19
20250813;	132325;	1755071605.000;	     1;	 err19;	    err19
20250813;	132330;	1755071610.000;	     1;	 err19;	    err19
20250813;	132335;	1755071615.000;	     1;	 err19;	    err19
20250813;	132340;	1755071620.000;	     1;	 err19;	    err19
20250813;	132345;	1755071625.000;	     1;	 err19;	    err19
20250813;	132350;	1755071630.000;	     1;	 err19;	    err19
20250813;	132355;	1755071635.000;	     1;	 err19;	    err19
20250813;	132400;	1755071640.000;	     1;	 err19;	    err19
20250813;	132405;	1755071645.000;	     1;	 err19;	    err19
20250813;	132410;	1755071650.000;	     1;	 err19;	    err19
20250813;	132415;	1755071655.000;	     1;	 err19;	    err19
20250813;	132420;	1755071660.000;	     1;	 err19;	    err19
20250813;	132425;	1755071665.000;	     1;	 err19;	    err19
20250813;	132430;	1755071670.000;	     1;	 err19;	    err19
20250813;	132435;	1755071675.000;	     1;	 err19;	    err19
20250813;	132440;	1755071680.000;	     1;	 err19;	    err19
20250813;	132445;	1755071685.000;	     1;	 err19;	    err19
20250813;	132450;	1755071690.000;	     1;	 err19;	    err19
20250813;	132455;	1755071695.000;	     1;	 err19;	    err19
20250813;	132500;	1755071700.000;	     1;	 err19;	    err19
20250813;	132505;	1755071705.000;	     1;	 err19;	    err19
20250813;	132510;	1755071710.000;	     1;	 err19;	    err19
20250813;	132515;	1755071715.000;	     1;	 err19;	    err19
20250813;	132520;	1755071720.000;	     1;	 err19;	    err19
20250813;	132525;	1755071725.000;	     1;	 err19;	    err19
20250813;	132530;	1755071730.000;	     1;	 err19;	    err19
20250813;	132535;	1755071735.000;	     1;	 err19;	    err19
20250813;	132540;	1755071740.000;	     1;	 err19;	    err19
20250813;	132545;	1755071745.000;	     1;	 err19;	    err19
20250813;	132550;	1755071750.000;	     1;	 err19;	    err19
20250813;	132555;	1755071755.000;	     1;	 err19;	    err19
20250813;	132600;	1755071760.000;	     1;	 err19;	    err19
20250813;	132605;	1755071765.000;	     1;	 err19;	    err19
20250813;	132610;	1755071770.000;	     1;	 err19;	    err19
20250813;	132615;	1755071775.000;	     1;	 err19;	    err19
20250813;	132620;	1755071780.000;	     1;	 err19;	    err19
20250813;	132625;	1755071785.000;	     1;	 err19;	    err19
20250813;	132630;	1755071790.000;	     1;	 err19;	    err19
20250813;	132635;	1755071795.000;	     1;	 err19;	    err19
20250813;	132640;	1755071800.000;	     1;	 err19;	    err19
20250813;	132645;	1755071805.000;	     1;	 err19;	    err19
20250813;	132650;	1755071810.000;	 err32;	 err32;	    err32
20250813;	132655;	1755071815.000;	 err32;	 err32;	    err32
20250813;	132700;	1755071820.000;	 err32;	 err32;	    err32
20250813;	132705;	1755071825.000;	 err32;	 err32;	    err32
20250813;	132710;	1755071830.000;	 err32;	 err32;	    err32
20250813;	132715;	1755071835.000;	 err32;	 err32;	    err32
20250813;	132720;	1755071840.000;	  err8;	  err8;	     err8
20250813;	132725;	1755071845.000;	  err8;	  err8;	     err8
20250813;	132730;	1755071850.000;	  err8;	  err8;	     err8
20250813;	132735;	1755071855.000;	     1;	 err19;	    err19
20250813;	132740;	1755071860.000;	 err32;	 err32;	    err32
20250813;	132745;	1755071865.000;	 err32;	 err32;	    err32
20250813;	132750;	1755071870.000;	 err32;	 err32;	    err32
20250813;	132755;	1755071875.000;	 err32;	 err32;	    err32
20250813;	132800;	1755071880.000;	 err32;	 err32;	    err32
20250813;	132805;	1755071885.000;	 err32;	 err32;	    err32
20250813;	132810;	1755071890.000;	 err32;	 err32;	    err32
20250813;	132815;	1755071895.000;	 err32;	 err32;	    err32
20250813;	132820;	1755071900.000;	 err32;	 err32;	    err32
20250813;	132825;	1755071905.000;	 err32;	 err32;	    err32
20250813;	132830;	1755071910.000;	 err32;	 err32;	    err32
20250813;	132835;	1755071915.000;	 err32;	 err32;	    err32
20250813;	132840;	1755071920.000;	 err32;	 err32;	    err32
20250813;	132845;	1755071925.000;	 err32;	 err32;	    err32
20250813;	132850;	1755071930.000;	 err32;	 err32;	    err32
20250813;	132855;	1755071935.000;	 err32;	 err32;	    err32
20250813;	132900;	1755071940.000;	 err32;	 err32;	    err32
20250813;	132905;	1755071945.000;	 err32;	 err32;	    err32
20250813;	132910;	1755071950.000;	 err32;	 err32;	    err32
20250813;	132915;	1755071955.000;	 err32;	 err32;	    err32
20250813;	132920;	1755071960.000;	 err32;	 err32;	    err32
20250813;	132925;	1755071965.000;	 err32;	 err32;	    err32
20250813;	132930;	1755071970.000;	 err32;	 err32;	    err32
20250813;	132935;	1755071975.000;	 err32;	 err32;	    err32
20250813;	132940;	1755071980.000;	 err32;	 err32;	    err32
20250813;	132945;	1755071985.000;	 err32;	 err32;	    err32
20250813;	132950;	1755071990.000;	 err32;	 err32;	    err32
20250813;	132955;	1755071995.000;	 err32;	 err32;	    err32
20250813;	133000;	1755072000.000;	 err32;	 err32;	    err32
20250813;	133005;	1755072005.000;	 err32;	 err32;	    err32
20250813;	133010;	1755072010.000;	 err32;	 err32;	    err32
20250813;	133015;	1755072015.000;	 err32;	 err32;	    err32
20250813;	133020;	1755072020.000;	 err32;	 err32;	    err32
20250813;	133025;	1755072025.000;	 err32;	 err32;	    err32
20250813;	133030;	1755072030.000;	 err32;	 err32;	    err32
20250813;	133035;	1755072035.000;	 err32;	 err32;	    err32
20250813;	133040;	1755072040.000;	 err32;	 err32;	    err32
20250813;	133045;	1755072045.000;	 err32;	 err32;	    err32
